Sequence Length,Hidden Size,Loss Vector,Accuracy
1,2,"[0.9064061641693115, 0.8459240794181824, 0.8094818592071533, 0.7860434651374817, 0.7699633836746216, 0.758545458316803, 0.7506157159805298, 0.7462829947471619, 0.7485555410385132, 0.7725956439971924]",0.43
11,2,"[0.5303085446357727, 0.5681583285331726, 0.5921388864517212, 0.6084458231925964, 0.6202785968780518, 0.6292658448219299, 0.6363124251365662, 0.6419718265533447, 0.6466154456138611, 0.6505109667778015]",0.5
101,2,"[0.8437435626983643, 0.7960577011108398, 0.7389530539512634, 0.7165007591247559, 0.7066912651062012, 0.7016326189041138, 0.6987364888191223, 0.6969689130783081, 0.6958436965942383, 0.6951048374176025]",0.85
1001,2,"[0.5463135838508606, 0.5530191659927368, 0.52077317237854, 0.5129029154777527, 0.5073012113571167, 0.504021942615509, 0.5025541186332703, 0.50248122215271, 0.5034606456756592, 0.5052043795585632]",0.81
10001,2,"[0.5089988112449646, 0.4580092132091522, 0.37937596440315247, 0.35209766030311584, 0.3386918902397156, 0.33085688948631287, 0.32595160603523254, 0.3227534294128418, 0.32060715556144714, 0.3191296458244324]",0.815
100001,2,"[0.5120658874511719, 0.48796433210372925, 0.4131985008716583, 0.3731769621372223, 0.3516872227191925, 0.33925145864486694, 0.33172425627708435, 0.32698237895965576, 0.32387563586235046, 0.32175880670547485]",0.84
