Sequence Length,Hidden Size,Loss Vector,Accuracy
3,6,"[0.9049054980278015, 0.8331060409545898, 0.7593402862548828, 0.7120080590248108, 0.7150211930274963, 0.7034980058670044, 0.701415479183197, 0.7029538750648499, 0.7197194695472717, 0.7004812955856323]",0.865
3,7,"[0.4638422131538391, 0.3474263548851013, 0.32731765508651733, 0.32346639037132263, 0.3177221715450287, 0.3186055123806, 0.31474068760871887, 0.3138657510280609, 0.31406500935554504, 0.31356364488601685]",0.86
3,8,"[0.8006682991981506, 0.7366685271263123, 0.7148360013961792, 0.6994785666465759, 0.6960457563400269, 0.6977963447570801, 0.6940802335739136, 0.6950255632400513, 0.6934976577758789, 0.6946128010749817]",0.875
3,9,"[0.7801696062088013, 0.7078101634979248, 0.7022745609283447, 0.6997182965278625, 0.6959584951400757, 0.6951573491096497, 0.6940394639968872, 0.6938390135765076, 0.6934279799461365, 0.6933171153068542]",0.825
3,10,"[1.0767593383789062, 1.2458195686340332, 1.2934415340423584, 1.2992572784423828, 1.3060648441314697, 1.308468222618103, 1.3090779781341553, 1.3112539052963257, 1.3119462728500366, 1.3124536275863647]",0.83
3,11,"[0.3600764572620392, 0.3211700916290283, 0.3164355456829071, 0.3148377239704132, 0.3141465187072754, 0.3138093054294586, 0.3135976493358612, 0.3134634494781494, 0.31343287229537964, 0.31333431601524353]",0.805
3,12,"[0.7832245826721191, 0.7083723545074463, 0.6986038088798523, 0.699099063873291, 0.6945542693138123, 0.6940367817878723, 0.6941761374473572, 0.6934905648231506, 0.6934266686439514, 0.6933011412620544]",0.87
3,13,"[1.1449816226959229, 1.2832411527633667, 1.296884298324585, 1.3035578727722168, 1.3087759017944336, 1.306315302848816, 1.3051246404647827, 1.3106143474578857, 1.3118880987167358, 1.3129841089248657]",0.79
3,14,"[1.2417064905166626, 1.294865369796753, 1.309142827987671, 1.3113662004470825, 1.3118371963500977, 1.3124921321868896, 1.3124834299087524, 1.3129106760025024, 1.3129315376281738, 1.3131095170974731]",0.78
3,15,"[0.7600966095924377, 0.7053588032722473, 0.6992397308349609, 0.6975534558296204, 0.694595217704773, 0.6944488286972046, 0.6938609480857849, 0.693630039691925, 0.6933791637420654, 0.6933462619781494]",0.85
3,16,"[0.5952877998352051, 0.6813778281211853, 0.6846396327018738, 0.6914153695106506, 0.6909436583518982, 0.6914732456207275, 0.6923386454582214, 0.6928591132164001, 0.69283527135849, 0.6929796934127808]",0.825
3,17,"[1.2493493556976318, 1.2949230670928955, 1.3074392080307007, 1.3093373775482178, 1.3116477727890015, 1.3121610879898071, 1.3122611045837402, 1.3127336502075195, 1.312943458557129, 1.3131284713745117]",0.87
3,18,"[0.3535059988498688, 0.322157084941864, 0.3164370059967041, 0.3159533739089966, 0.31590068340301514, 0.31672146916389465, 0.31381237506866455, 0.3134463131427765, 0.3134634494781494, 0.31349658966064453]",0.895
3,19,"[0.32811564207077026, 0.3204028606414795, 0.31542086601257324, 0.3137558400630951, 0.3137168884277344, 0.31358665227890015, 0.3133902847766876, 0.31338122487068176, 0.3133772015571594, 0.3133178651332855]",0.835
3,20,"[0.6564434766769409, 0.6836698651313782, 0.6869082450866699, 0.690309464931488, 0.6918845772743225, 0.6924912929534912, 0.692886233329773, 0.6929014921188354, 0.6930046081542969, 0.6930170059204102]",0.84
3,21,"[0.7222903966903687, 0.6999399065971375, 0.6995940804481506, 0.6951152086257935, 0.6944572925567627, 0.6940540075302124, 0.6946783065795898, 0.6938238739967346, 0.6935650706291199, 0.693307101726532]",0.875
3,22,"[0.35366570949554443, 0.3225598633289337, 0.3153272271156311, 0.3142176568508148, 0.3138047754764557, 0.3136509656906128, 0.3134303689002991, 0.3133638799190521, 0.3133871257305145, 0.31333956122398376]",0.825
3,23,"[0.7334347367286682, 0.7002902626991272, 0.695383608341217, 0.6947551965713501, 0.6935843229293823, 0.6936564445495605, 0.6933600306510925, 0.6934434175491333, 0.6932148337364197, 0.6931849718093872]",0.84
3,24,"[0.32514601945877075, 0.3168110251426697, 0.3142191171646118, 0.31385478377342224, 0.313505619764328, 0.31346946954727173, 0.31341353058815, 0.3133540153503418, 0.31332823634147644, 0.31330209970474243]",0.835
3,25,"[0.32923993468284607, 0.3171776831150055, 0.3149496912956238, 0.31488513946533203, 0.31407737731933594, 0.31368911266326904, 0.3134177327156067, 0.31329405307769775, 0.31330016255378723, 0.31330183148384094]",0.885
3,26,"[0.7193953394889832, 0.6986843943595886, 0.7000719904899597, 0.6958602666854858, 0.6935423016548157, 0.6934177279472351, 0.6932789087295532, 0.6933282613754272, 0.6932463049888611, 0.6931763887405396]",0.84
4,2,"[0.8609004616737366, 0.823395848274231, 0.8023012280464172, 0.7578690648078918, 0.7364487051963806, 0.7457748651504517, 0.7262824773788452, 0.7182071208953857, 0.7062504291534424, 0.7188845872879028]",0.835
4,3,"[0.9608504176139832, 0.8810230493545532, 0.8420647382736206, 0.8217021822929382, 0.8499305844306946, 0.804531991481781, 0.7745821475982666, 0.7266319394111633, 0.7201377749443054, 0.710034966468811]",0.75
4,4,"[0.4987180829048157, 0.4825928211212158, 0.3702808916568756, 0.338474303483963, 0.3352201581001282, 0.327144056558609, 0.3214111924171448, 0.3194211423397064, 0.31856676936149597, 0.31526806950569153]",0.84
4,5,"[0.8355927467346191, 0.7812701463699341, 0.7222002148628235, 0.7106977701187134, 0.7035950422286987, 0.7007433772087097, 0.7003812789916992, 0.6953771710395813, 0.6986821889877319, 0.6962258219718933]",0.83
4,6,"[0.8291100263595581, 0.7740188837051392, 0.7321130633354187, 0.7192128300666809, 0.7002542018890381, 0.6989911794662476, 0.6964976191520691, 0.694989025592804, 0.696481466293335, 0.6940979957580566]",0.87
4,7,"[0.886323869228363, 0.7730036973953247, 0.7151459455490112, 0.7048761248588562, 0.7011510729789734, 0.6951675415039062, 0.6963188052177429, 0.6943041682243347, 0.694908082485199, 0.6936942934989929]",0.86
4,8,"[0.8895514011383057, 0.8380041718482971, 0.7159292697906494, 0.7088673114776611, 0.6976222395896912, 0.6974889039993286, 0.6982723474502563, 0.6952065229415894, 0.6941386461257935, 0.6946659684181213]",0.875
4,9,"[1.1582224369049072, 1.2754285335540771, 1.2881669998168945, 1.2977941036224365, 1.3075151443481445, 1.3100124597549438, 1.3116101026535034, 1.3108494281768799, 1.3124732971191406, 1.3124613761901855]",0.87
4,10,"[0.35549917817115784, 0.3333567678928375, 0.32421576976776123, 0.3183920085430145, 0.3151308000087738, 0.31469404697418213, 0.3149597942829132, 0.3136906027793884, 0.31401973962783813, 0.3135916292667389]",0.895
4,11,"[0.7599780559539795, 0.7124807238578796, 0.7110210657119751, 0.6998453140258789, 0.6950297355651855, 0.6943529844284058, 0.6940920352935791, 0.6935901045799255, 0.6941108703613281, 0.6933836936950684]",0.845
4,12,"[0.7778387069702148, 0.7155643701553345, 0.7003918886184692, 0.6951008439064026, 0.6956236362457275, 0.6938663125038147, 0.6938618421554565, 0.6934831142425537, 0.694953441619873, 0.6951842904090881]",0.875
4,13,"[0.6174922585487366, 0.6577480435371399, 0.6844654083251953, 0.6854634284973145, 0.6915451288223267, 0.6920675039291382, 0.6915237903594971, 0.69217848777771, 0.6920852661132812, 0.6929435133934021]",0.84
4,14,"[0.759958028793335, 0.7064330577850342, 0.6985595226287842, 0.694496214389801, 0.6944024562835693, 0.6938618421554565, 0.6935459971427917, 0.6934508681297302, 0.6932957768440247, 0.6934016942977905]",0.885
4,15,"[1.2715004682540894, 1.296202301979065, 1.3078744411468506, 1.3110551834106445, 1.3122131824493408, 1.312045693397522, 1.312713861465454, 1.3130394220352173, 1.313066005706787, 1.3131191730499268]",0.875
4,16,"[0.7694864869117737, 0.7004430294036865, 0.6954030394554138, 0.6946238279342651, 0.6935663819313049, 0.6937770843505859, 0.6937138438224792, 0.6933115124702454, 0.6932656168937683, 0.693208634853363]",0.84
4,17,"[0.7432935237884521, 0.7031328082084656, 0.6940386295318604, 0.693650484085083, 0.6936464905738831, 0.693183958530426, 0.6931889653205872, 0.6932020783424377, 0.6931752562522888, 0.693169891834259]",0.875
4,18,"[0.7211217880249023, 0.6967729330062866, 0.6947055459022522, 0.6940352320671082, 0.6938531398773193, 0.6934696435928345, 0.6932430267333984, 0.6934085488319397, 0.6932440400123596, 0.6931966543197632]",0.87
4,19,"[0.3283338248729706, 0.3196312487125397, 0.3146797716617584, 0.3150087594985962, 0.31375277042388916, 0.31381767988204956, 0.31337788701057434, 0.31334444880485535, 0.3133399784564972, 0.3133440911769867]",0.825
4,20,"[0.7587466239929199, 0.7157530784606934, 0.6973391175270081, 0.6973114609718323, 0.6948915123939514, 0.6944535970687866, 0.6937633752822876, 0.6932756304740906, 0.6936279535293579, 0.6932494044303894]",0.9
4,21,"[0.7281556129455566, 0.7031367421150208, 0.7029351592063904, 0.6948254108428955, 0.6938894987106323, 0.6937302350997925, 0.6935476064682007, 0.6932621002197266, 0.6932300329208374, 0.6932227611541748]",0.875
4,22,"[0.3292744755744934, 0.3168450593948364, 0.3146520256996155, 0.31360670924186707, 0.3139311671257019, 0.31343331933021545, 0.3133981227874756, 0.31336063146591187, 0.3132883310317993, 0.3132795989513397]",0.86
4,23,"[0.3190361559391022, 0.31502190232276917, 0.3144654929637909, 0.3136252462863922, 0.313562273979187, 0.3134060502052307, 0.3133637011051178, 0.3133082687854767, 0.3133002519607544, 0.313284307718277]",0.87
