Sequence Length,Hidden Size,Loss Vector,Accuracy
11,8,"[0.8306174278259277, 0.9585306644439697, 1.2384076118469238, 0.7974243760108948, 0.8360494375228882, 0.8585290908813477, 1.027075171470642, 0.7897684574127197, 0.7397274971008301, 1.1624494791030884]",0.875
11,11,"[0.41427597403526306, 0.328926146030426, 0.3180968165397644, 0.3164966106414795, 0.4727345108985901, 0.3187810480594635, 0.5042077302932739, 0.31452634930610657, 0.5999152064323425, 0.3134666979312897]",0.91
11,14,"[0.7452351450920105, 0.7271984815597534, 0.7091739773750305, 0.6995568871498108, 0.6950961351394653, 0.6937842965126038, 0.6933833956718445, 0.693327009677887, 0.6932259798049927, 0.6932210922241211]",0.89
11,17,"[0.3357728123664856, 0.31909388303756714, 0.3145520091056824, 0.31382986903190613, 0.3135821223258972, 0.3169395327568054, 0.31341415643692017, 0.31372830271720886, 0.3139774203300476, 0.3147484362125397]",0.935
11,20,"[1.2634820938110352, 1.264080286026001, 1.3072534799575806, 1.3107784986495972, 1.3123441934585571, 1.3120077848434448, 1.3125665187835693, 1.313035249710083, 1.3125758171081543, 1.3129169940948486]",0.955
11,23,"[0.8990234732627869, 0.7002358436584473, 0.694612979888916, 0.6936126947402954, 0.6933237314224243, 0.693280816078186, 0.6932234764099121, 0.6932108998298645, 0.6931666135787964, 0.6931642889976501]",0.945
11,26,"[0.3165588974952698, 0.3147490620613098, 0.31351616978645325, 0.3133563697338104, 0.3133087158203125, 0.31329911947250366, 0.3132777810096741, 0.31326931715011597, 0.3132656514644623, 0.313266783952713]",0.895
14,2,"[0.5432446599006653, 0.5637099742889404, 0.5804324746131897, 0.5977180004119873, 0.6166087985038757, 0.6296698451042175, 0.6230190396308899, 0.6272314786911011, 0.6405283212661743, 0.6342978477478027]",0.525
14,5,"[0.5599176287651062, 0.6063464283943176, 0.6188967227935791, 0.6236910820007324, 0.6281151175498962, 0.4461653232574463, 0.40727099776268005, 0.3484363257884979, 0.3371148109436035, 0.33771640062332153]",0.89
14,8,"[0.5897333025932312, 0.6217056512832642, 0.6413537859916687, 0.6438671946525574, 0.6796013116836548, 0.45969337224960327, 0.42485329508781433, 0.5478516817092896, 0.6314324140548706, 0.677107036113739]",0.87
14,11,"[0.5592969655990601, 0.5886379480361938, 0.6518945097923279, 0.5981011390686035, 0.3457902669906616, 0.3212359845638275, 0.3182849884033203, 0.31697478890419006, 0.3150767982006073, 0.31450334191322327]",0.86
14,14,"[0.5526286363601685, 0.6734660863876343, 0.682257354259491, 0.6674249768257141, 0.6597874164581299, 0.35498952865600586, 0.3390220105648041, 0.3290034234523773, 0.3288186192512512, 0.3213889002799988]",0.84
14,17,"[0.6590140461921692, 0.6108494997024536, 0.687485933303833, 0.6847413182258606, 0.6682913303375244, 0.32557186484336853, 0.3285103738307953, 0.3154364228248596, 0.3140486478805542, 0.32205575704574585]",0.89
14,20,"[0.35256606340408325, 0.6845185160636902, 0.6883247494697571, 0.6909929513931274, 0.6919279098510742, 0.6926181316375732, 0.6927393078804016, 0.6929953098297119, 0.6930510401725769, 0.6930691003799438]",0.46
14,23,"[0.6765626668930054, 0.6848462820053101, 0.6683040261268616, 0.5861901640892029, 0.5996555089950562, 0.322054386138916, 0.31350529193878174, 0.32981473207473755, 0.6930972337722778, 0.6930899024009705]",0.505
14,26,"[0.7174656391143799, 0.6947423219680786, 0.6940995454788208, 0.6936281323432922, 0.6933706998825073, 0.6934012770652771, 0.6932803988456726, 0.6932929158210754, 0.6932078003883362, 0.6932021975517273]",0.555
17,2,"[0.9050716161727905, 0.8582792282104492, 0.8293107748031616, 0.7896559238433838, 0.785846471786499, 0.7708213925361633, 0.7596638202667236, 0.750337541103363, 0.7504856586456299, 0.7435612678527832]",0.495
17,5,"[0.8230677843093872, 0.762012779712677, 0.7414237260818481, 0.7138164639472961, 0.7092434763908386, 0.7006956934928894, 0.6982243061065674, 0.6957424879074097, 0.696876585483551, 0.6951807737350464]",0.81
17,8,"[0.5964582562446594, 0.6238839030265808, 0.6433922052383423, 0.6478273272514343, 0.6436373591423035, 0.6271346807479858, 0.4856228232383728, 0.6708600521087646, 0.4301720857620239, 0.6800214648246765]",0.48
17,11,"[0.5299440622329712, 0.39912882447242737, 0.35573357343673706, 0.3373209536075592, 0.34861838817596436, 0.3656718134880066, 0.3237247169017792, 0.31597092747688293, 0.32230332493782043, 0.692446768283844]",0.54
17,14,"[0.7656077146530151, 0.7449451684951782, 0.7767242193222046, 0.7374840974807739, 0.7097213268280029, 0.7038190364837646, 0.6998866200447083, 0.6956353187561035, 0.6949779987335205, 0.694646954536438]",0.435
17,17,"[0.8068838715553284, 0.7129678130149841, 0.809848964214325, 0.7729644775390625, 0.7452287077903748, 0.7217376828193665, 0.6936196684837341, 0.7339495420455933, 0.6939703226089478, 0.711587131023407]",0.84
17,20,"[0.6718325018882751, 0.6784381866455078, 0.677297830581665, 0.6881299614906311, 0.6769488453865051, 0.6917323470115662, 0.691356360912323, 0.691648542881012, 0.6920931339263916, 0.6924117207527161]",0.485
17,23,"[0.7190238237380981, 0.7083917856216431, 0.6975557208061218, 0.6956905126571655, 0.6949928402900696, 0.6951680779457092, 0.7351530194282532, 0.7062695026397705, 0.6938535571098328, 0.6935026049613953]",0.545
17,26,"[0.762600839138031, 0.7180697321891785, 0.7031001448631287, 0.7080206274986267, 0.7004809379577637, 0.6976904273033142, 0.7009553909301758, 0.697369396686554, 0.6939300894737244, 0.6961161494255066]",0.905
20,2,"[0.4845094680786133, 0.5318339467048645, 0.5784704685211182, 0.5967769622802734, 0.609248161315918, 0.6071048974990845, 0.627003014087677, 0.628277063369751, 0.6475381255149841, 0.6337562799453735]",0.535
20,5,"[0.5768799781799316, 0.6277154684066772, 0.6487212181091309, 0.6626771688461304, 0.680049479007721, 0.6834139227867126, 0.6897525787353516, 0.6901574730873108, 0.6908221244812012, 0.6920985579490662]",0.62
20,8,"[0.5897632837295532, 0.6241675615310669, 0.6289873719215393, 0.6318280100822449, 0.6476174592971802, 0.6744366884231567, 0.6670836806297302, 0.6740494966506958, 0.6748164892196655, 0.673507809638977]",0.6
