Sequence Length,Hidden Size,Loss Vector,Accuracy
60,12,"[0.34187793731689453, 0.3232992887496948, 0.3190194368362427, 0.31497806310653687, 0.3142026662826538, 0.3136715292930603, 0.313595712184906, 0.3135354220867157, 0.3134111762046814, 0.31334853172302246]",1.0
60,14,"[0.3293772339820862, 0.31574204564094543, 0.31473425030708313, 0.3145999610424042, 0.6927862763404846, 0.6922197937965393, 0.3142872154712677, 0.3138457238674164, 0.3134547472000122, 0.31372684240341187]",1.0
60,16,"[0.7109258770942688, 0.6987388134002686, 0.6949901580810547, 0.6946658492088318, 0.6934106349945068, 0.6933355331420898, 0.6932739615440369, 0.6932293176651001, 0.6932097673416138, 0.693198025226593]",0.445
60,18,"[0.7015690207481384, 0.6945881247520447, 0.6938197016716003, 0.6935893893241882, 0.6936519145965576, 0.6935104727745056, 0.6936122179031372, 0.6935614347457886, 0.6936559677124023, 0.6934484839439392]",0.535
60,20,"[0.3179991543292999, 0.31434544920921326, 0.314655065536499, 0.31410646438598633, 0.3136548697948456, 0.31366419792175293, 0.31346502900123596, 0.31400030851364136, 0.3134462237358093, 0.3136049509048462]",1.0
60,22,"[1.3032468557357788, 0.6948412656784058, 0.6935375928878784, 0.6933998465538025, 0.6933032870292664, 0.6932494640350342, 0.6932443380355835, 0.6932081580162048, 0.6931732296943665, 0.6931683421134949]",0.44
60,24,"[0.31664296984672546, 0.3146642744541168, 0.31385546922683716, 0.3135226368904114, 0.3134479522705078, 0.3133913278579712, 0.3133346736431122, 0.3134148418903351, 0.31329694390296936, 0.3132641017436981]",0.865
80,2,"[0.5665479302406311, 0.580448567867279, 0.6012120842933655, 0.6363558769226074, 0.6464625597000122, 0.6464910507202148, 0.645179808139801, 0.5788620114326477, 0.40990301966667175, 0.3415742814540863]",0.87
80,4,"[0.8130480051040649, 0.7205324769020081, 0.7031670212745667, 0.6971861720085144, 0.6947147846221924, 0.6950609087944031, 0.6949646472930908, 0.6943606734275818, 0.6937647461891174, 0.693588376045227]",0.995
80,6,"[0.7561594247817993, 0.7047742009162903, 0.697870671749115, 0.6951587796211243, 0.693865180015564, 0.6938565969467163, 0.6935518980026245, 0.693389356136322, 0.6932847499847412, 0.6932627558708191]",0.995
80,8,"[0.7692726254463196, 0.7203274965286255, 0.7169366478919983, 0.7142738699913025, 0.7023444771766663, 0.7039353251457214, 0.6969559192657471, 0.6965957283973694, 0.695327639579773, 0.6939548254013062]",1.0
80,10,"[0.7503705024719238, 0.7010602951049805, 0.6950605511665344, 0.694385826587677, 0.6939370036125183, 0.6935687065124512, 0.6934902667999268, 0.6934342384338379, 0.6931998133659363, 0.6932021975517273]",1.0
80,12,"[0.3585728108882904, 0.3196652829647064, 0.3162503242492676, 0.31371697783470154, 0.3204739987850189, 0.3145638406276703, 0.31403157114982605, 0.31361323595046997, 0.31352499127388, 0.31338226795196533]",1.0
80,14,"[0.3217737674713135, 0.3176334798336029, 0.31541556119918823, 0.31430235505104065, 0.31425902247428894, 0.3141889274120331, 0.3138139247894287, 0.3134889006614685, 0.3133085370063782, 0.31348612904548645]",0.845
