Sequence Length,Hidden Size,Loss Vector,Accuracy
20,2,"[0.43039071559906006, 0.40532299876213074, 0.3609243631362915, 0.34745311737060547, 0.34084510803222656, 0.33209216594696045, 0.3249231278896332, 0.3269452452659607, 0.32507920265197754, 0.32143038511276245]",0.98
20,4,"[0.4734656810760498, 0.374002605676651, 0.3413635790348053, 0.3230350613594055, 0.3239040970802307, 0.3183611333370209, 0.31569257378578186, 0.31850945949554443, 0.31516551971435547, 0.3150646984577179]",1.0
20,6,"[0.3823432922363281, 0.3310305178165436, 0.32126864790916443, 0.3209390342235565, 0.3167901039123535, 0.31444835662841797, 0.314969003200531, 0.3144439160823822, 0.31388649344444275, 0.31358543038368225]",0.995
20,8,"[0.7441762685775757, 0.6999397277832031, 0.6964303255081177, 0.6938926577568054, 0.6936168670654297, 0.6933248043060303, 0.6933927536010742, 0.6932295560836792, 0.693305492401123, 0.6931880712509155]",1.0
20,10,"[0.3506544232368469, 0.32117778062820435, 0.3178826570510864, 0.31461721658706665, 0.31439918279647827, 0.3141156733036041, 0.31396400928497314, 0.31352514028549194, 0.3135049343109131, 0.31340491771698]",1.0
20,12,"[0.7186330556869507, 0.6982866525650024, 0.694557249546051, 0.6936749219894409, 0.6934424638748169, 0.6935071349143982, 0.6932418346405029, 0.6932175755500793, 0.6932087540626526, 0.6931734681129456]",1.0
20,14,"[0.3410586416721344, 0.31914013624191284, 0.6878691911697388, 0.31525468826293945, 0.31371018290519714, 0.31364554166793823, 0.31353074312210083, 0.31343767046928406, 0.6930887699127197, 0.6930646896362305]",0.465
20,16,"[0.324449747800827, 0.3158549666404724, 0.3143460750579834, 0.3136138319969177, 0.3138878643512726, 0.3137582838535309, 0.31335052847862244, 0.31357184052467346, 0.313419908285141, 0.31331080198287964]",0.995
20,18,"[0.3185887932777405, 0.31480395793914795, 0.692155122756958, 0.6920357346534729, 0.6925680041313171, 0.692737340927124, 0.6928198933601379, 0.6930317878723145, 0.6930561065673828, 0.6931015849113464]",0.5
20,20,"[0.6986619234085083, 0.6935477256774902, 0.6933010816574097, 0.6932277679443359, 0.693189799785614, 0.6931620836257935, 0.693164050579071, 0.693157434463501, 0.6931531429290771, 0.6931483149528503]",1.0
20,22,"[0.3197895288467407, 0.31514906883239746, 0.31407687067985535, 0.3135502338409424, 0.3135668933391571, 0.31349682807922363, 0.31334182620048523, 0.31331542134284973, 0.3133135139942169, 0.31328707933425903]",1.0
20,24,"[0.3184173107147217, 0.31456899642944336, 0.31394344568252563, 0.3136758804321289, 0.3138962388038635, 0.3135848343372345, 0.3142898380756378, 0.3133733570575714, 0.3134116232395172, 0.3133161962032318]",0.995
40,2,"[0.5846679210662842, 0.45055145025253296, 0.39282238483428955, 0.37261897325515747, 0.350176602602005, 0.3488653302192688, 0.3361020088195801, 0.33524325489997864, 0.3333266079425812, 0.33278876543045044]",0.97
40,4,"[0.8722052574157715, 0.7504681348800659, 0.7069544792175293, 0.7023031711578369, 0.6968168616294861, 0.6953632235527039, 0.695971667766571, 0.69419926404953, 0.6935061812400818, 0.6937178373336792]",1.0
