Sequence Length,Hidden Size,Loss Vector,Accuracy
60,12,"[0.6253215074539185, 0.6547563672065735, 0.6622067093849182, 0.6688684225082397, 0.6721242666244507, 0.677507758140564, 0.6804684996604919, 0.6797333359718323, 0.683459997177124, 0.6835401058197021]",0.55
60,14,"[0.7367289066314697, 0.7165398001670837, 0.7105724811553955, 1.178554892539978, 0.7138242125511169, 0.716525673866272, 0.702325165271759, 0.7067832946777344, 0.7019327282905579, 0.6994354128837585]",0.515
60,16,"[0.7349370121955872, 0.7178304195404053, 0.716010332107544, 0.847428560256958, 1.0858376026153564, 1.1333266496658325, 1.1424007415771484, 0.9539609551429749, 0.7091432213783264, 0.697402834892273]",0.735
60,18,"[0.7365883588790894, 0.7155246734619141, 0.7124960422515869, 0.759754478931427, 0.7212253212928772, 0.7169438600540161, 1.214857816696167, 0.7576916813850403, 0.7622297406196594, 0.7354926466941833]",0.51
60,20,"[0.73989337682724, 1.1374483108520508, 1.2074089050292969, 1.1050231456756592, 1.025217890739441, 1.2987573146820068, 1.3054413795471191, 1.3023896217346191, 1.2564613819122314, 1.0344868898391724]",0.765
60,22,"[0.6680922508239746, 0.6805211305618286, 0.6853904128074646, 0.6878654360771179, 0.6886188983917236, 0.6904105544090271, 0.6910658478736877, 0.6917663812637329, 0.6916791796684265, 0.6923955678939819]",0.525
60,24,"[0.7151637077331543, 0.7064218521118164, 0.7009760737419128, 1.189602017402649, 0.7531908750534058, 0.9483336210250854, 0.9396481513977051, 0.9617322683334351, 0.712952733039856, 0.8235014081001282]",0.445
80,2,"[0.8966329097747803, 0.849810004234314, 0.8381189107894897, 0.7768691778182983, 0.7662426233291626, 0.7646195888519287, 0.7421796321868896, 0.7499831318855286, 0.7335265874862671, 0.7434750199317932]",0.47
80,4,"[0.5595380067825317, 0.6127758026123047, 0.6253231167793274, 0.6392799615859985, 0.646720826625824, 0.6565392017364502, 0.6591246724128723, 0.6605972051620483, 0.6643285155296326, 0.5776563882827759]",0.51
80,6,"[0.5949558019638062, 0.6316968202590942, 0.6428136825561523, 0.6475993394851685, 0.6607669591903687, 0.6635863184928894, 0.6677171587944031, 0.6777609586715698, 0.6782167553901672, 0.6780334711074829]",0.595
80,8,"[0.6103249192237854, 0.6444082856178284, 0.6626627445220947, 0.6725315451622009, 0.6874480247497559, 0.6880567669868469, 0.690436601638794, 0.6914809346199036, 0.6923701167106628, 0.6927132606506348]",0.72
80,10,"[0.6361817121505737, 0.6592189073562622, 0.6385213136672974, 0.646496057510376, 0.3901277780532837, 0.5640949606895447, 0.6113739609718323, 0.625622034072876, 0.6256459355354309, 0.5197431445121765]",0.54
80,12,"[0.6530154347419739, 0.6641002893447876, 0.661781370639801, 0.6620321273803711, 0.6612564921379089, 0.6822105646133423, 0.6656043529510498, 0.3279179036617279, 0.4274854362010956, 0.68500155210495]",0.535
80,14,"[0.6382405161857605, 0.4965553879737854, 0.6346706748008728, 0.5946208238601685, 0.6302400231361389, 0.6540972590446472, 0.5780689120292664, 0.5500877499580383, 0.6650367379188538, 0.4502880275249481]",0.69
80,16,"[0.7462035417556763, 0.727241039276123, 0.7713280320167542, 0.753071129322052, 0.8213143348693848, 0.7194141745567322, 0.8019344210624695, 0.7126688361167908, 0.7138187289237976, 0.7062879800796509]",0.535
80,18,"[0.7348318696022034, 0.7208031415939331, 0.7101157903671265, 0.7066174745559692, 1.2981406450271606, 0.7418477535247803, 0.7207723259925842, 0.7131229043006897, 1.0856655836105347, 0.7421911954879761]",0.52
80,20,"[0.5114787817001343, 0.45697155594825745, 0.5039032697677612, 0.5057554244995117, 0.5238384008407593, 0.5130343437194824, 0.49586156010627747, 0.48592910170555115, 0.46635702252388, 0.4752349257469177]",0.72
80,22,"[0.6110484004020691, 0.6186102628707886, 0.6300796270370483, 0.574419379234314, 0.4971046447753906, 0.5508550405502319, 0.5796345472335815, 0.5854132771492004, 0.6314480900764465, 0.646765410900116]",0.485
80,24,"[0.7209342122077942, 0.7401009798049927, 0.7075785398483276, 0.7034001350402832, 0.7004771828651428, 0.7630002498626709, 0.7005003094673157, 0.6987929940223694, 0.6967369318008423, 0.6966565847396851]",0.59
200,2,"[0.8735244274139404, 0.8304586410522461, 0.8020365238189697, 0.7966063618659973, 0.7727655172348022, 0.7745813131332397, 0.7682957649230957, 0.7611151933670044, 0.7648792266845703, 1.0447604656219482]",0.49
200,4,"[0.5538419485092163, 0.6016881465911865, 0.6145068407058716, 0.6147810816764832, 0.5573460459709167, 0.6317800879478455, 0.6106264591217041, 0.6257832050323486, 0.6159210801124573, 0.65804523229599]",0.515
200,6,"[0.8265273571014404, 0.7815694808959961, 0.7576485276222229, 0.7424329519271851, 0.735892117023468, 0.7430021166801453, 0.7272549867630005, 0.7185406684875488, 0.7057793140411377, 0.7083721160888672]",0.555
200,8,"[0.623553454875946, 0.6444093585014343, 0.6579362750053406, 0.6588829755783081, 0.32490596175193787, 0.457160085439682, 0.5871586799621582, 0.599729061126709, 0.6195106506347656, 0.6136099696159363]",0.505
200,10,"[0.6251357793807983, 0.6456807851791382, 0.6555011868476868, 0.6708624958992004, 0.675568163394928, 0.6813246011734009, 0.6844612956047058, 0.6835257411003113, 0.6863499283790588, 0.6867344379425049]",0.565
200,12,"[0.7556842565536499, 0.7959023118019104, 0.7327381372451782, 0.7329987287521362, 0.8931776881217957, 0.9769546389579773, 1.1832025051116943, 0.9131304025650024, 0.8693264722824097, 1.030780553817749]",0.475
200,14,"[0.6379473805427551, 0.3588161766529083, 0.3614856004714966, 0.40695467591285706, 0.3968299329280853, 0.45444101095199585, 0.5050831437110901, 0.5662147998809814, 0.5684733986854553, 0.5955936908721924]",0.635
200,16,"[0.7221329808235168, 0.7239367365837097, 0.7141939401626587, 0.7115329504013062, 0.7051839828491211, 0.7028590440750122, 0.7183195352554321, 0.7078615427017212, 1.3056108951568604, 0.736112654209137]",0.515
200,18,"[0.6510303616523743, 0.5971882939338684, 0.6480310559272766, 0.6430630087852478, 0.5478582978248596, 0.5737396478652954, 0.6213202476501465, 0.6544827222824097, 0.6622699499130249, 0.6658208966255188]",0.52
200,20,"[0.7580312490463257, 0.9035558700561523, 0.7105830311775208, 1.1940728425979614, 0.9842186570167542, 0.8066068887710571, 0.7919800281524658, 0.7656009197235107, 0.7433643937110901, 0.7407485246658325]",0.48
200,22,"[0.4444551467895508, 0.6452575922012329, 0.5723334550857544, 0.6542388200759888, 0.6621651649475098, 0.6679069399833679, 0.6414631009101868, 0.62913978099823, 0.6677318811416626, 0.6038230657577515]",0.55
200,24,"[0.7988957166671753, 0.763480544090271, 1.0065948963165283, 0.7272418737411499, 0.7438446283340454, 0.7540753483772278, 0.7250381112098694, 0.7646477222442627, 1.0723382234573364, 1.2485686540603638]",0.475
400,2,"[0.9201509356498718, 0.8579220771789551, 0.8075399994850159, 0.8113943934440613, 0.7703557014465332, 0.7714207172393799, 0.7617769241333008, 0.7729188799858093, 0.7590358257293701, 0.9956220388412476]",0.47
400,4,"[0.8613327145576477, 0.8039353489875793, 0.7683367133140564, 0.7514351010322571, 0.9978975653648376, 0.8286910057067871, 0.7738897800445557, 0.7494421601295471, 0.7368095517158508, 0.7287571430206299]",0.555
400,6,"[0.8086462020874023, 0.764877200126648, 0.757016122341156, 0.7439650297164917, 0.9726384282112122, 0.8387237787246704, 0.7727541923522949, 0.7772184014320374, 0.8158272504806519, 0.7478569149971008]",0.5
400,8,"[0.6370063424110413, 0.5943470001220703, 0.6280339360237122, 0.6475568413734436, 0.3572258949279785, 0.5329084396362305, 0.602806568145752, 0.49479174613952637, 0.5750573873519897, 0.41334739327430725]",0.68
400,10,"[0.6171537041664124, 0.47070515155792236, 0.5208463072776794, 0.5091656446456909, 0.5031760931015015, 0.44565442204475403, 0.5550881624221802, 0.3450130224227905, 0.3307655155658722, 0.3626689612865448]",0.695
400,12,"[0.7706283926963806, 1.1377564668655396, 0.7851089835166931, 0.7368825674057007, 0.7290399670600891, 1.2651180028915405, 0.750164270401001, 1.159539818763733, 0.7951934933662415, 0.7460988163948059]",0.48
400,14,"[0.8321022391319275, 0.7406719923019409, 0.8663796782493591, 0.871060311794281, 0.72463458776474, 0.7210420370101929, 0.7438266277313232, 1.0192980766296387, 0.774057924747467, 0.748797595500946]",0.495
400,16,"[0.44995546340942383, 0.6578829288482666, 0.3213343620300293, 0.6583179831504822, 0.6191121339797974, 0.5592777729034424, 0.5826177597045898, 0.5658397674560547, 0.6063833236694336, 0.6009392738342285]",0.465
400,18,"[0.7620762586593628, 0.7849193811416626, 0.7279480695724487, 0.7692809700965881, 0.7543204426765442, 0.8116723299026489, 0.7458096146583557, 1.2421718835830688, 0.7548485398292542, 0.7261946797370911]",0.68
400,20,"[0.9600050449371338, 0.7321040034294128, 0.7401208877563477, 0.7253320217132568, 0.7341112494468689, 0.7355645895004272, 0.778657853603363, 0.7192621827125549, 0.7519330382347107, 0.7092138528823853]",0.425
400,22,"[0.7768115997314453, 0.8461580276489258, 0.7728881239891052, 0.7470188736915588, 0.9958847761154175, 0.8361247777938843, 1.0106757879257202, 0.8333741426467896, 0.8193697333335876, 0.7381712198257446]",0.515
400,24,"[0.9439976215362549, 0.8054595589637756, 0.9959235191345215, 0.9627680778503418, 0.7409136295318604, 0.7394834756851196, 0.8003476858139038, 0.7405978441238403, 0.7341379523277283, 0.7219167351722717]",0.56
600,2,"[0.836605966091156, 0.7916040420532227, 0.8011797070503235, 0.7975338697433472, 0.7465041279792786, 0.7374504208564758, 0.719493567943573, 0.7150847911834717, 0.7094334959983826, 0.7055414319038391]",0.6
600,4,"[0.5761318206787109, 0.6168807744979858, 0.4716116786003113, 0.5964730978012085, 0.6166554689407349, 0.628967821598053, 0.5579753518104553, 0.5962092280387878, 0.5893191695213318, 0.6510870456695557]",0.52
600,6,"[0.8058586716651917, 0.7709969282150269, 0.7507351636886597, 0.7300496697425842, 0.7310129404067993, 0.7213201522827148, 0.7250924706459045, 0.7075211405754089, 0.7092224359512329, 0.7080653309822083]",0.95
600,8,"[0.8135453462600708, 0.7378618121147156, 0.9182726144790649, 0.9078260064125061, 0.7276739478111267, 0.721920907497406, 0.7175342440605164, 0.7147402167320251, 0.7038460969924927, 0.7031780481338501]",0.6
600,10,"[0.7634267807006836, 1.0549428462982178, 0.7372925281524658, 0.7195854187011719, 0.7308434844017029, 0.7153655290603638, 0.7079370617866516, 1.2912744283676147, 0.8911106586456299, 0.7972686290740967]",0.8
600,12,"[0.5920574069023132, 0.4455171525478363, 0.570470929145813, 0.6042218804359436, 0.5456097722053528, 0.5974912047386169, 0.6316397190093994, 0.38291409611701965, 0.5472850799560547, 0.5342516899108887]",0.52
600,14,"[0.6541174650192261, 0.6532536745071411, 0.6672724485397339, 0.6682040691375732, 0.6736024022102356, 0.6739507913589478, 0.672799825668335, 0.6745302081108093, 0.6709538698196411, 0.6681276559829712]",0.475
600,16,"[0.5705275535583496, 0.6294626593589783, 0.5979564189910889, 0.5699861645698547, 0.5799001455307007, 0.6429208517074585, 0.6508961915969849, 0.6548004746437073, 0.5734560489654541, 0.5456176400184631]",0.61
600,18,"[0.8277284502983093, 0.7222579121589661, 0.7441504597663879, 0.8044150471687317, 0.7236913442611694, 0.7316849231719971, 0.742630124092102, 0.7248809337615967, 0.7126256227493286, 0.7065995931625366]",0.46
600,20,"[0.6522316932678223, 0.6378021836280823, 0.6534330248832703, 0.3487248718738556, 0.6208181381225586, 0.6351489424705505, 0.6721072196960449, 0.32228317856788635, 0.33222463726997375, 0.35582277178764343]",0.48
600,22,"[0.7344802618026733, 0.7667494416236877, 0.719450056552887, 0.8363919258117676, 0.7964478731155396, 0.7288607954978943, 0.7139815092086792, 0.7116789221763611, 0.7056809067726135, 0.94874507188797]",0.56
600,24,"[0.4860932230949402, 0.640933096408844, 0.520583987236023, 0.4972118139266968, 0.6202245354652405, 0.5610882043838501, 0.42889872193336487, 0.5787230134010315, 0.6085288524627686, 0.6111269593238831]",0.52
800,2,"[0.515090823173523, 0.5751726627349854, 0.5907689332962036, 0.6139816641807556, 0.6298466920852661, 0.6253718733787537, 0.582812488079071, 0.6273437738418579, 0.5523853898048401, 0.6456917524337769]",0.505
800,4,"[0.5964348316192627, 0.6317309141159058, 0.569456934928894, 0.6083953380584717, 0.6403979659080505, 0.6433776617050171, 0.6453120708465576, 0.6636216640472412, 0.667854905128479, 0.6616029739379883]",0.48
800,6,"[0.6075624823570251, 0.6358863711357117, 0.5395345687866211, 0.564319372177124, 0.6062220931053162, 0.6389208436012268, 0.6154314279556274, 0.5182995796203613, 0.5250393748283386, 0.545955240726471]",0.555
800,8,"[0.796218752861023, 0.756483793258667, 0.7394473552703857, 0.7357217669487, 0.7197365760803223, 0.7117749452590942, 0.7195952534675598, 0.7340474724769592, 1.1146012544631958, 0.7075921893119812]",0.705
800,10,"[0.6343489289283752, 0.6295190453529358, 0.5327458381652832, 0.65134197473526, 0.38550469279289246, 0.6720970273017883, 0.48900023102760315, 0.3507964313030243, 0.6660536527633667, 0.48342210054397583]",0.545
800,12,"[0.7354799509048462, 0.746173620223999, 1.168868064880371, 0.7713149785995483, 0.7250910997390747, 0.7420162558555603, 0.714647114276886, 0.7118271589279175, 0.7025934457778931, 0.7170056104660034]",0.755
800,14,"[0.611868679523468, 0.5594434142112732, 0.4672151207923889, 0.45014339685440063, 0.6207215189933777, 0.3849262297153473, 0.5399949550628662, 0.5482932329177856, 0.612035870552063, 0.6250506043434143]",0.55
800,16,"[0.9143802523612976, 0.7564246654510498, 1.1909537315368652, 0.7526549696922302, 0.836532711982727, 0.7809387445449829, 0.7214460968971252, 0.9344062805175781, 0.8155539035797119, 0.7783765196800232]",0.625
800,18,"[0.7358208894729614, 0.7690975069999695, 0.8151627779006958, 0.8457516431808472, 0.7920346260070801, 0.7388989329338074, 0.7885329723358154, 0.8091288208961487, 0.8485640287399292, 0.7683866024017334]",0.555
800,20,"[0.6612983345985413, 0.6289570331573486, 0.6383906006813049, 0.6483467817306519, 0.6090677976608276, 0.5156538486480713, 0.65617436170578, 0.6242132186889648, 0.6525267362594604, 0.669958233833313]",0.565
800,22,"[0.3322700560092926, 0.639182448387146, 0.5527422428131104, 0.5258929133415222, 0.35599514842033386, 0.3521178364753723, 0.6395528316497803, 0.6615838408470154, 0.6041187644004822, 0.6436980962753296]",0.575
800,24,"[0.9593703746795654, 0.8530946373939514, 0.810623824596405, 0.7454746961593628, 0.7202044129371643, 0.8581624031066895, 0.717743992805481, 0.7668126225471497, 0.7117118239402771, 0.7104926109313965]",0.55
2000,2,"[0.4918743968009949, 0.5292376279830933, 0.5467920303344727, 0.56756591796875, 0.593189001083374, 0.6092347502708435, 0.6084513068199158, 0.6403132081031799, 0.6365780234336853, 0.6507109999656677]",0.605
2000,4,"[0.5472854375839233, 0.5770574808120728, 0.6188496351242065, 0.4024079740047455, 0.48104023933410645, 0.5251282453536987, 0.5917396545410156, 0.6167279481887817, 0.6283387541770935, 0.6348657608032227]",0.495
2000,6,"[0.7996748089790344, 0.7561682462692261, 0.7517414093017578, 0.8162537217140198, 1.0078849792480469, 0.866787850856781, 0.8075732588768005, 1.0526046752929688, 0.8445259928703308, 0.7866767048835754]",0.475
2000,8,"[0.7642847299575806, 0.7404940128326416, 0.7991057634353638, 0.945115327835083, 0.7778046727180481, 0.8559377789497375, 0.7696486711502075, 0.7633450627326965, 0.7334092259407043, 0.7192637920379639]",0.615
2000,10,"[0.617919385433197, 0.6032124757766724, 0.6609578132629395, 0.6671831607818604, 0.6679824590682983, 0.48880910873413086, 0.4884421229362488, 0.40535956621170044, 0.3625859320163727, 0.42919686436653137]",0.975
2000,12,"[0.9728590250015259, 0.8333851099014282, 0.8175405263900757, 1.2774015665054321, 0.7566933035850525, 0.7342061996459961, 1.2552164793014526, 1.2950077056884766, 0.8562437295913696, 0.8805381059646606]",0.485
2000,14,"[0.6046500205993652, 0.601077675819397, 0.6406357288360596, 0.6303499341011047, 0.6182420253753662, 0.5142415761947632, 0.5819904804229736, 0.6373085379600525, 0.6469025611877441, 0.6125708818435669]",0.51
2000,16,"[0.6414672136306763, 0.6473753452301025, 0.649311363697052, 0.33999332785606384, 0.6355466246604919, 0.5951716899871826, 0.6607105731964111, 0.6740483045578003, 0.6740725636482239, 0.6748761534690857]",0.495
2000,18,"[0.9575999975204468, 0.7455114126205444, 0.7881851196289062, 0.7336899638175964, 0.7442153096199036, 0.9712063074111938, 0.7531633973121643, 1.0935583114624023, 0.8025509119033813, 0.7588846683502197]",0.55
2000,20,"[0.5325748324394226, 0.5319502949714661, 0.5442076921463013, 0.5717735290527344, 0.45485973358154297, 0.5378233194351196, 0.5142374634742737, 0.5473383665084839, 0.5790202021598816, 0.5639700293540955]",0.57
2000,22,"[0.610399067401886, 0.6018535494804382, 0.32988956570625305, 0.661516010761261, 0.6421633362770081, 0.33421704173088074, 0.6426759958267212, 0.41682755947113037, 0.6073561310768127, 0.5255511999130249]",0.46
2000,24,"[0.5558930039405823, 0.5322102308273315, 0.6308990716934204, 0.5413191318511963, 0.4950140714645386, 0.5222527980804443, 0.6042968034744263, 0.5833242535591125, 0.5821352005004883, 0.5794048309326172]",0.515
4000,2,"[0.5398812890052795, 0.5786557793617249, 0.5958436131477356, 0.6026520729064941, 0.62660813331604, 0.6181125640869141, 0.5017427206039429, 0.5400501489639282, 0.5840136408805847, 0.5878459811210632]",0.53
4000,4,"[0.8140996694564819, 0.7734291553497314, 0.7451258897781372, 0.7460323572158813, 0.7856913208961487, 1.04379141330719, 0.8334242701530457, 0.7993077635765076, 0.797261655330658, 0.779761016368866]",0.55
4000,6,"[0.8228128552436829, 0.7535277605056763, 0.7363166809082031, 0.8229256868362427, 0.841831624507904, 0.7408697605133057, 0.7209376692771912, 0.7245869636535645, 0.7167569398880005, 0.7524605989456177]",0.605
4000,8,"[0.7894236445426941, 0.7525976896286011, 0.8782796263694763, 0.7739222645759583, 0.7611034512519836, 0.740896463394165, 0.736626148223877, 0.7222424149513245, 0.7400786280632019, 0.9235565662384033]",0.485
4000,10,"[0.6243820786476135, 0.5543033480644226, 0.6095575094223022, 0.622194230556488, 0.554282546043396, 0.6333647966384888, 0.5897019505500793, 0.5433498024940491, 0.39576929807662964, 0.33277133107185364]",0.51
4000,12,"[0.7458211779594421, 0.7722141146659851, 0.9862848520278931, 1.1798441410064697, 0.8255560398101807, 0.7585856914520264, 0.7351922988891602, 1.056591510772705, 1.271628737449646, 0.8492265939712524]",0.515
4000,14,"[0.7728825807571411, 0.8384901285171509, 0.7711620330810547, 1.128124475479126, 0.7722826600074768, 1.2188396453857422, 0.813406765460968, 0.7768113017082214, 0.7754887938499451, 0.8130478858947754]",0.575
4000,16,"[0.6325448155403137, 0.6078606247901917, 0.5637636780738831, 0.6151856184005737, 0.47072577476501465, 0.5658423900604248, 0.6759530305862427, 0.3273240923881531, 0.3735813796520233, 0.32897529006004333]",0.745
4000,18,"[0.5090480446815491, 0.5112096071243286, 0.5212514400482178, 0.49710869789123535, 0.5053902864456177, 0.5279399156570435, 0.5318422317504883, 0.5017971396446228, 0.49056315422058105, 0.4629606604576111]",0.545
4000,20,"[0.7471910715103149, 0.7855749130249023, 0.7285141348838806, 0.7124599814414978, 0.8824557065963745, 1.1610348224639893, 0.9971016645431519, 0.774285078048706, 0.7820586562156677, 0.85025954246521]",0.465
4000,22,"[1.0823959112167358, 1.1817984580993652, 0.7260999083518982, 0.7134402394294739, 0.8249452114105225, 0.7583220601081848, 0.7254738807678223, 0.7378559112548828, 0.7516453862190247, 0.74413001537323]",0.505
4000,24,"[0.7938961982727051, 0.7180553078651428, 0.7295584678649902, 0.8037025928497314, 0.7941402196884155, 0.7837622165679932, 0.7697635889053345, 0.7620837688446045, 0.7803764343261719, 0.866931676864624]",0.48
6000,2,"[0.48303356766700745, 0.5306721925735474, 0.5449891686439514, 0.5165551900863647, 0.48208045959472656, 0.5058196783065796, 0.4690712094306946, 0.48514771461486816, 0.43711793422698975, 0.4337373673915863]",0.595
6000,4,"[0.5469852089881897, 0.5990842580795288, 0.6327797174453735, 0.5157325863838196, 0.6190062761306763, 0.6387816667556763, 0.5993767380714417, 0.6299895644187927, 0.613491415977478, 0.580382227897644]",0.535
6000,6,"[0.7996227145195007, 0.7583802938461304, 0.7726303935050964, 0.8806442618370056, 0.8665810823440552, 0.9256629943847656, 0.7228537797927856, 0.7075796723365784, 0.706147313117981, 0.703643262386322]",0.61
6000,8,"[0.7709168195724487, 0.7431948184967041, 0.8412407636642456, 0.8727929592132568, 0.7263296246528625, 0.7159906625747681, 0.7105041146278381, 0.9069601893424988, 0.7048449516296387, 1.0814893245697021]",0.79
