Sequence Length,Hidden Size,Loss Vector,Accuracy
11,8,"[0.8013328313827515, 0.7068027257919312, 0.6970378160476685, 0.6946973204612732, 0.6938734650611877, 0.6935440897941589, 0.693386435508728, 0.6932978630065918, 0.6932530999183655, 0.6932371854782104]",0.935
11,11,"[0.8698092103004456, 0.9229347705841064, 0.8732588887214661, 0.8796029686927795, 0.769881010055542, 0.7355773448944092, 0.7191097140312195, 0.7123425602912903, 0.7247868180274963, 0.7321546673774719]",0.945
11,14,"[0.7163548469543457, 0.6956639289855957, 0.6939657926559448, 0.6935110092163086, 0.6933290362358093, 0.6932551264762878, 0.6932147145271301, 0.6931949257850647, 0.6931787729263306, 0.693168580532074]",0.88
11,17,"[0.33877599239349365, 0.31606027483940125, 0.31478437781333923, 0.31838956475257874, 0.31369051337242126, 0.3133944571018219, 0.3136136531829834, 0.3133228123188019, 0.31368327140808105, 0.31350547075271606]",0.96
11,20,"[0.3290805518627167, 0.31680041551589966, 0.313711941242218, 0.3136838674545288, 0.31355616450309753, 0.31347471475601196, 0.3133941888809204, 0.3133469521999359, 0.3133166432380676, 0.3132968544960022]",0.93
11,23,"[0.839704155921936, 0.6966540813446045, 0.7025433778762817, 0.7047841548919678, 0.6961961984634399, 0.6939961314201355, 0.6932170987129211, 0.6932100653648376, 0.6932175755500793, 0.693936824798584]",0.935
11,26,"[0.441361665725708, 0.3414323627948761, 0.32219672203063965, 0.3193211853504181, 0.31332072615623474, 0.3140960931777954, 0.6931332349777222, 0.693135678768158, 0.6931375861167908, 0.6931390762329102]",0.49
14,2,"[0.5072211623191833, 0.542521595954895, 0.5725927948951721, 0.5927644968032837, 0.6067670583724976, 0.6170510053634644, 0.6249117851257324, 0.6310770511627197, 0.635982871055603, 0.6399015188217163]",0.535
14,5,"[0.5727024674415588, 0.6140269041061401, 0.6302700042724609, 0.6379925012588501, 0.641204297542572, 0.6411740779876709, 0.6372350454330444, 0.6124508380889893, 0.38630741834640503, 0.332864910364151]",0.845
14,8,"[0.7987427711486816, 0.7113469839096069, 0.6978817582130432, 0.6949602365493774, 0.6939913630485535, 0.6936060786247253, 0.6934325695037842, 0.6933420300483704, 0.6932857632637024, 0.6932559609413147]",0.91
14,11,"[0.612948477268219, 0.5019155144691467, 0.3276137411594391, 0.31966546177864075, 0.31844210624694824, 0.32294660806655884, 0.31647542119026184, 0.316200852394104, 0.3178843855857849, 0.321300208568573]",0.915
14,14,"[0.6218633055686951, 0.644282341003418, 0.6117848753929138, 0.32860204577445984, 0.3208039402961731, 0.3158872127532959, 0.31439638137817383, 0.35357505083084106, 0.313836932182312, 0.6925003528594971]",0.495
14,17,"[0.6306143403053284, 0.3394744098186493, 0.35816097259521484, 0.3183490037918091, 0.31999075412750244, 0.31366392970085144, 0.3139111399650574, 0.31681543588638306, 0.3145822286605835, 0.6930878162384033]",0.5
14,20,"[0.6717771291732788, 0.46386784315109253, 0.5469505786895752, 0.6896370053291321, 0.6908738017082214, 0.6911964416503906, 0.6912865042686462, 0.6920288801193237, 0.6922655701637268, 0.6923729777336121]",0.48
14,23,"[0.8376645445823669, 0.7616502046585083, 0.7271897792816162, 0.7182137370109558, 0.7102864980697632, 0.7144098281860352, 0.7127362489700317, 0.7091265916824341, 0.7066943049430847, 0.7012754678726196]",0.505
14,26,"[0.752669095993042, 0.714579701423645, 0.7145525813102722, 0.704968273639679, 0.700783908367157, 0.6976929306983948, 0.6960651278495789, 0.6947200298309326, 0.6939303278923035, 0.6936719417572021]",0.9
17,2,"[0.9889044165611267, 0.9300504922866821, 0.8758836388587952, 0.8294421434402466, 0.8030591011047363, 0.787898600101471, 0.7786946296691895, 0.7731199860572815, 0.76987624168396, 0.7680545449256897]",0.5
17,5,"[0.8438166379928589, 0.7887649536132812, 0.7639796137809753, 0.7504519820213318, 0.7432485222816467, 0.7415345311164856, 0.7431417107582092, 0.746482789516449, 0.713549792766571, 0.7137959599494934]",0.515
17,8,"[0.6182544231414795, 0.6482694745063782, 0.6572511196136475, 0.6655886769294739, 0.6797360181808472, 0.6866046190261841, 0.6894928216934204, 0.6909294724464417, 0.6917147040367126, 0.6921770572662354]",0.55
17,11,"[0.8329073190689087, 0.8259037137031555, 0.876117467880249, 0.8844674825668335, 0.866506040096283, 0.8593717813491821, 0.8525747060775757, 0.8468575477600098, 0.8404808044433594, 0.8323453068733215]",0.525
17,14,"[0.7612308263778687, 0.7461320757865906, 0.7010267376899719, 0.7003363370895386, 0.7319945693016052, 0.7105060815811157, 0.7020379900932312, 0.6958307027816772, 0.6946272850036621, 0.6941008567810059]",0.9
17,17,"[0.615201473236084, 0.375541627407074, 0.33216503262519836, 0.3226354122161865, 0.38600367307662964, 0.31525886058807373, 0.6922553181648254, 0.688287079334259, 0.31752026081085205, 0.51093989610672]",0.865
17,20,"[0.7574431896209717, 0.8366149663925171, 0.6989797353744507, 0.696871817111969, 0.6957734227180481, 0.6959452629089355, 0.6961165070533752, 0.7288249135017395, 0.6968074440956116, 0.6974332928657532]",0.48
17,23,"[0.593633770942688, 0.6534572839736938, 0.6669959425926208, 0.6911348104476929, 0.691719114780426, 0.6921678781509399, 0.6924889087677002, 0.6927087306976318, 0.6928555965423584, 0.6929527521133423]",0.495
17,26,"[0.4275582730770111, 0.6414019465446472, 0.510279655456543, 0.6869992017745972, 0.6866316199302673, 0.691209077835083, 0.6915395259857178, 0.6917843818664551, 0.6900361180305481, 0.6919198036193848]",0.515
20,2,"[0.9156140685081482, 0.8580011129379272, 0.8241147994995117, 0.8023059368133545, 0.7870655059814453, 0.7757890224456787, 0.7671093940734863, 0.7602372169494629, 0.7546789646148682, 0.7501043677330017]",0.545
20,5,"[0.8724383115768433, 0.8023216128349304, 0.7776384353637695, 0.767449676990509, 0.769365131855011, 0.7916926145553589, 0.777450680732727, 0.747725248336792, 0.7338140606880188, 0.7257607579231262]",0.625
20,8,"[0.840556263923645, 0.9658803343772888, 1.2116432189941406, 1.247357726097107, 1.2588948011398315, 1.2797420024871826, 1.289731502532959, 1.282408356666565, 1.289987325668335, 1.3009744882583618]",0.805
20,11,"[0.7766040563583374, 0.7346441149711609, 0.7189230918884277, 0.7108083963394165, 0.7059915065765381, 0.7028987407684326, 0.7008331418037415, 0.6994746327400208, 0.6987729072570801, 0.6992879509925842]",0.47
20,14,"[0.7795628309249878, 0.7294037938117981, 0.7430199384689331, 0.7097172737121582, 0.6956894397735596, 0.7162885665893555, 0.6999226808547974, 0.6962710022926331, 0.6936100721359253, 0.6948707699775696]",0.495
20,17,"[0.7438062429428101, 0.7333399653434753, 0.7452903985977173, 0.7032826542854309, 1.0470318794250488, 0.6971942782402039, 0.6941635012626648, 0.6939811706542969, 0.693840742111206, 1.056755542755127]",0.74
20,20,"[0.7965180277824402, 0.9272599816322327, 0.7033539414405823, 0.7053973078727722, 0.6998953819274902, 0.6970041990280151, 0.840175449848175, 0.6958171129226685, 0.8067412376403809, 0.6944022178649902]",0.555
20,23,"[0.8100118637084961, 1.164290428161621, 1.2676255702972412, 1.283398151397705, 0.6953641176223755, 0.6957277059555054, 1.1009981632232666, 1.3035359382629395, 0.6938289403915405, 0.6932306289672852]",0.475
20,26,"[0.6681560277938843, 0.6667852997779846, 0.6901382207870483, 0.6911721229553223, 0.6918166279792786, 0.6922152042388916, 0.6924139261245728, 0.6922264695167542, 0.6927302479743958, 0.6897679567337036]",0.45
23,2,"[0.8429508209228516, 0.8126024007797241, 0.7882013916969299, 0.775692880153656, 0.7734798192977905, 0.7699414491653442, 0.7596929669380188, 0.7493708729743958, 0.740459680557251, 0.7330477833747864]",0.655
