Sequence Length,Mean Accuracy,Standard Deviation
1,0.7210000000000001,0.03786819245752298
10,0.827,0.02158703314492287
100,0.511,0.029051678092667926
1000,0.488,0.017204650534085254
10000,0.49000000000000005,0.007071067811865481
